Name,Symbol,Mean Return (%),StdDev (%),Skewness,Kurtosis,Min Return (%),Max Return (%),Start Date,End Date
Bitcoin,BTC,0.2776526338687478,6.444674467880087,2.6010669002313933,88.15263967985892,-84.88286681870977,147.41798037200854,2010-07-19,2022-08-23
Ethereum,ETH,0.2090931773567643,5.6396227148746885,-0.5777701870672056,8.110400426741954,-58.963851728319305,25.859944992212824,2016-03-11,2022-08-23
Tether,USDT,0.0005138724977526594,0.4626854716816432,0.04348114015410089,31.666761437037636,-5.746963454581937,4.528996399896116,2017-04-15,2022-08-23
USD Coin,USDC,-0.0001914533406589208,0.9446390941344465,-8.515186446177882,277.26981884748517,-22.808379854005377,12.463144291696636,2018-12-07,2022-08-23
BNB,BNB,0.2865431903147622,6.013163636922008,0.3816926308401781,14.2764062988531,-54.3083897481135,52.92178669714956,2017-11-10,2022-08-23
Binance USD,BUSD,-0.00010213346025477824,0.3722151462784979,-0.49947743698376196,101.83589728639787,-5.794128793242198,5.361580144403158,2019-09-21,2022-08-23
XRP,XRP,0.11031392557117506,9.005188317545835,0.7994142194559554,28.9272856030157,-99.65281625548297,102.79947214541565,2015-01-23,2022-08-23
Cardano,ADA,-0.025745907121470835,6.167207087132668,-0.1318579789304124,5.790727224206112,-53.71989090208804,34.876976443161915,2018-01-01,2022-08-23
Solana,SOL,1.1318471365167682,9.426455377570196,-0.28085207898590253,3.4011329297565185,-45.173807149534454,37.904385173604936,2020-06-05,2021-08-28
Dogecoin,DOGE,0.1603132196093912,15.662661427196545,0.5157661683338252,520.1049805674595,-415.5892175101103,414.1786363100035,2017-06-04,2022-08-23
Polkadot,DOT,0.11992833501408126,7.00881893176111,0.04581760743557814,5.758644970116357,-48.50370298836584,37.176518966232244,2020-08-22,2022-08-23
Shiba Inu,SHIB,inf,,,,-69.31471805599455,inf,2021-04-16,2022-08-23
Dai,DAI,-0.0011873758149894774,0.7615506933560686,-0.24062523007460335,15.024343590533178,-6.811009736595597,5.708757745290151,2018-02-03,2022-08-23
Polygon,MATIC,0.32652778500363033,8.565518344358596,-0.3637525546749028,11.664822051393623,-74.72144018302211,46.930700783128756,2019-06-28,2022-08-23
Avalanche,AVAX,0.3373789889283605,8.293828947071995,0.3934750620503788,5.69315489503547,-46.52427459835984,55.57129012022077,2020-12-26,2022-08-23
TRON,TRX,0.1878626320150896,7.2948436331674085,1.8452001893709904,25.3154274669087,-57.08498681243084,78.0130779385988,2017-11-15,2022-08-23
Wrapped Bitcoin,WBTC,0.028207832772400805,3.973327387969751,-0.1797955526579991,2.0833212867801647,-17.37139206071152,18.164920526013972,2020-11-19,2022-08-23
Uniswap,UNI,0.15434020356906933,7.125890436938802,0.29900342415149994,4.284988982669225,-41.25110214300265,38.840098214159724,2020-11-07,2022-08-23
UNUS SED LEO,LEO,0.09285057969385373,3.2589979871052464,2.4193903497644027,38.02229988574924,-21.870656819668422,45.04180884146016,2019-06-28,2022-08-23
Ethereum Classic,ETC,0.13541707057697577,6.652015231086296,0.20703684118801582,8.804927422156808,-56.141143066370745,53.29259707666569,2016-07-29,2022-08-23
Litecoin,LTC,0.12308088670755023,6.011326756679945,0.6395800045235495,13.006396702067693,-48.67779320276586,60.69811121582662,2016-08-25,2022-08-23
FTX Token,FTT,0.26117643290509684,4.930659610941415,-0.029421421460425954,5.297974009066161,-32.73062495616274,29.65306181135268,2019-12-21,2022-08-23
Cosmos,ATOM,0.2098037385868422,7.010114723188231,-1.0835614866650443,11.669659570570095,-61.452117503616236,32.70783836515143,2019-05-16,2021-09-06
Chainlink,LINK,0.16042062173076457,7.12334159010598,-0.31071165113424626,7.0922200423645805,-63.71529112053703,47.54236967150749,2018-02-03,2022-08-23
Cronos,CRO,0.13956002201085835,6.705414213173209,2.0697764482097796,29.15641731970124,-49.043288059535996,86.91685583060678,2018-12-15,2022-08-23
NEAR Protocol,NEAR,0.19468273986975887,8.231926523755636,-0.04417926758445836,3.0951931736487692,-45.45047490706189,35.11185521384523,2020-10-16,2022-08-23
Monero,XMR,0.22572861164686797,11.751575580282779,-0.00417810938824817,40.19169762281263,-134.32348716594436,115.00254799444795,2015-01-31,2022-08-23
Stellar,XLM,0.19759856735576337,7.564763414786629,1.6203051515693805,16.067504701302852,-44.031183943833256,72.84289947045855,2017-02-23,2022-08-23
Bitcoin Cash,BCH,-0.05290153059408104,7.0165826589231175,0.09516546307581446,11.046792563282889,-59.77212690759855,43.546114528299995,2017-08-04,2022-08-23
Bitcoin BEP2,BTCB,0.07433037352983835,5.42210645907399,-0.2219712631738405,18.027766252046987,-48.41974322774796,45.295936526557234,2019-06-19,2022-08-23
Flow,FLOW,-0.2037369980957119,7.304635216686088,0.5423540324421569,4.350532573192758,-36.30291813000275,34.48178356391829,2021-01-28,2022-08-23
Algorand,ALGO,-0.20371590587345664,7.078797806648997,-0.743399534707747,10.01206069423791,-65.02007905776443,41.820271459995304,2019-06-22,2022-08-23
VeChain,VET,0.03637792461964165,6.760199006720791,-0.44922044249589066,7.529751497220289,-61.72435486992774,35.20641210636839,2018-08-04,2022-08-23
EOS,EOS,0.02575211042917433,6.683590900977599,-0.03655445262113586,8.062027738761703,-50.42273964375076,43.95974976390193,2017-11-10,2022-08-23
Filecoin,FIL,-0.03484751178253083,9.743457286531482,0.5676658062463923,9.380400081973246,-60.46050980071278,76.92100554287964,2017-12-14,2022-08-23
Internet Computer,ICP,-0.8977255039201368,7.684137585320864,-0.09329284987957691,3.6698909147220675,-36.44852293108216,34.77637452888614,2021-05-11,2022-08-23
ApeCoin,APE,-0.6930052662947418,28.493914430059817,3.581603876179433,140.74708031508172,-315.2331053864331,470.98975839533637,2020-10-02,2022-08-23
Decentraland,MANA,0.2295008969004541,8.297484451323408,1.8038936040633382,22.51539633752744,-62.98411399786317,93.50669723553086,2017-11-10,2022-08-23
The Sandbox,SAND,0.37575023200984176,9.24733216782089,0.9006766923411926,7.391800254894694,-45.92997473391433,70.12353175049424,2020-08-15,2022-08-23
Tezos,XTZ,-0.004227068553463642,7.119140738893936,-0.4119269870737769,8.814155997695082,-60.726010476310336,56.77584661446209,2017-11-10,2022-08-23
Hedera,HBAR,-0.028435253815980346,7.487150988161425,1.0254210239443449,17.930133201212836,-58.816568840529946,70.61315583367174,2019-09-18,2022-08-23
Chiliz,CHZ,0.2252121737671912,8.225174097041013,0.6653083421611498,15.22490388156356,-70.11394604130513,71.52953641658038,2019-07-02,2022-08-23
Quant,QNT,0.4102201771813691,8.250259232410874,0.08099145348872072,7.4395536493897225,-63.72759502425257,52.900434696646684,2018-08-11,2022-08-23
Elrond,EGLD,0.15670495662057365,7.057742060114067,-0.13818475602361163,3.604342326667589,-39.570183115084134,38.02739867109235,2020-09-05,2022-08-23
Aave,AAVE,0.7468796314808078,19.13259942684674,20.541866099773937,494.68665080161026,-41.294635802680006,463.3688688893078,2020-10-03,2022-08-23
Theta Network,THETA,0.11275943234674099,7.585123085883856,-0.011616631413916232,6.8065237250154205,-60.38722369743979,51.052683820506275,2018-01-18,2022-08-23
Axie Infinity,AXS,0.698751517508452,9.62771955380527,0.94026442745608,4.573773476096075,-49.926534268435894,52.98277681993064,2020-11-05,2022-08-23
TrueUSD,TUSD,-0.0006820705777778348,0.4875122591520886,-1.068592985101746,83.56484012985574,-8.013332642357698,6.947805010462443,2018-03-07,2022-08-23
OKB,OKB,0.19872825937323316,6.045048900661439,0.5478765193743939,18.15318323141073,-51.62393060445355,48.90071264944345,2019-05-01,2022-08-23
Bitcoin SV,BSV,-0.01680918566434647,7.565025182270432,1.305081043078176,28.989263195254964,-62.35601823799462,88.58122081539177,2018-11-10,2022-08-23
Zcash,ZEC,-0.07975363879164576,6.177478375567714,-0.5539100030600954,6.061464252853838,-53.94334780209178,26.072420474237923,2017-11-10,2022-08-23
